depth,toc
1300.0000,2.5647
1303.0000,2.5466
1306.0000,1.6447
1309.0000,2.9688
1312.0000,2.7602
1315.0000,3.4285
1318.0000,3.3179
1321.0000,4.2386
1324.0000,2.4165
1327.0000,1.0939
1330.0000,3.5402
1333.0000,1.0397
1336.0000,2.4331
1339.0000,2.0241
1342.0000,3.8183
1345.0000,2.5575
1348.0000,1.5472
1351.0000,0.7314
1354.0000,3.9708
1357.0000,4.1518
1360.0000,2.7349
1363.0000,3.9566
1366.0000,4.1565
1369.0000,4.2250
1372.0000,1.1751
1375.0000,0.5536
1378.0000,4.9687
1381.0000,2.4827
1384.0000,1.4611
1387.0000,3.1697
1390.0000,3.0380
1393.0000,0.8705
1396.0000,0.8101
1399.0000,2.7929
1402.0000,2.8674
1405.0000,3.5623
1408.0000,2.3713
1411.0000,1.7855
1414.0000,4.0683
1417.0000,1.8483
1420.0000,2.5182
1423.0000,2.7669
1426.0000,2.3477
1429.0000,3.1851
1432.0000,1.7183
1435.0000,1.4219
1438.0000,2.0489
1441.0000,0.8898
1444.0000,3.4399
1447.0000,3.6039
1450.0000,3.5645
1453.0000,2.1590
1456.0000,0.3527
1459.0000,2.2238
1462.0000,1.5864
1465.0000,1.4779
1468.0000,2.8604
1471.0000,2.6021
1474.0000,2.3463
1477.0000,3.1416
1480.0000,1.1310
1483.0000,2.9068
1486.0000,3.6789
1489.0000,3.6760
1492.0000,2.2065
1495.0000,4.1740
1498.0000,1.6051
1501.0000,2.0361
1504.0000,2.7357
1507.0000,3.5128
1510.0000,4.4244
1513.0000,1.6560
1516.0000,3.2167
1519.0000,1.3301
1522.0000,1.8384
1525.0000,4.3941
1528.0000,2.8518
1531.0000,3.0764
1534.0000,4.4392
1537.0000,2.4707
1540.0000,3.0127
1543.0000,1.8891
1546.0000,1.6405
1549.0000,3.9831
1552.0000,1.5880
1555.0000,2.3107
1558.0000,2.7397
1561.0000,3.0467
1564.0000,2.2653
1567.0000,2.6516
1570.0000,2.0865
1573.0000,2.0948
1576.0000,3.5141
1579.0000,0.1945
1582.0000,4.0120
1585.0000,2.7130
1588.0000,3.3450
1591.0000,3.8530
1594.0000,0.9365
1597.0000,2.4528
1600.0000,1.9405
1603.0000,1.4217
1606.0000,3.2345
1609.0000,1.9728
1612.0000,3.9337
1615.0000,2.5140
1618.0000,3.3118
1621.0000,1.9263
1624.0000,3.6435
1627.0000,2.9572
1630.0000,3.6911
1633.0000,3.6239
1636.0000,2.4247
1639.0000,2.7933
1642.0000,1.0127
1645.0000,3.0204
1648.0000,1.5669
1651.0000,3.1528
1654.0000,-0.5481
1657.0000,2.2728
1660.0000,0.5748
1663.0000,1.2161
1666.0000,1.9663
1669.0000,3.0981
1672.0000,2.6352
1675.0000,2.3209
1678.0000,2.2033
1681.0000,2.4419
1684.0000,2.0225
1687.0000,3.8236
1690.0000,2.8145
1693.0000,4.3438
1696.0000,2.0083
1699.0000,2.2154
1702.0000,4.7196
1705.0000,1.8686
1708.0000,2.4272
1711.0000,2.9430
1714.0000,1.8731
1717.0000,2.2987
1720.0000,2.3303
1723.0000,2.5252
1726.0000,1.3346
1729.0000,1.1017
1732.0000,2.6737
1735.0000,2.1454
1738.0000,1.9378
1741.0000,0.7634
1744.0000,2.3488
1747.0000,2.9319
1750.0000,2.8845
1753.0000,3.9632
1756.0000,3.9593
1759.0000,2.5219
1762.0000,2.8729
1765.0000,2.2673
1768.0000,2.6294
1771.0000,0.6302
1774.0000,1.4887
1777.0000,1.2435
1780.0000,0.4461
1783.0000,2.0856
1786.0000,1.4386
1789.0000,2.4821
1792.0000,1.4744
1795.0000,0.7405
1798.0000,1.3473
1801.0000,3.3062
1804.0000,2.0378
1807.0000,4.0192
1810.0000,2.3006
1813.0000,2.9172
1816.0000,1.9261
1819.0000,1.9543
1822.0000,2.0705
1825.0000,4.2413
1828.0000,2.1343
1831.0000,2.2320
1834.0000,2.8841
1837.0000,3.4861
1840.0000,2.9987
1843.0000,2.7720
1846.0000,2.2370
1849.0000,3.3609
1852.0000,1.9692
1855.0000,3.5677
1858.0000,2.5578
1861.0000,2.2739
1864.0000,2.9313
1867.0000,0.6219
1870.0000,2.9933
1873.0000,3.4949
1876.0000,3.7831
1879.0000,1.1403
1882.0000,2.7235
1885.0000,1.6575
1888.0000,0.5114
1891.0000,1.9703
1894.0000,3.2208
1897.0000,2.8122
1900.0000,3.8012
1903.0000,2.5171
1906.0000,1.9647
1909.0000,2.7815
1912.0000,1.5837
1915.0000,2.5426
1918.0000,3.2739
1921.0000,2.8653
1924.0000,2.3959
1927.0000,3.7112
1930.0000,1.2093
1933.0000,3.1389
1936.0000,4.2728
1939.0000,1.9245
1942.0000,1.8885
1945.0000,2.8798
1948.0000,1.5972
1951.0000,3.6741
1954.0000,3.5940
1957.0000,4.4398
1960.0000,0.5468
1963.0000,3.5766
1966.0000,2.2070
1969.0000,2.7001
1972.0000,3.8886
1975.0000,1.2236
1978.0000,0.4742
1981.0000,2.0539
1984.0000,5.0631
1987.0000,3.3304
1990.0000,2.7889
1993.0000,2.2716
1996.0000,2.3434
1999.0000,0.5639
2002.0000,3.1753
2005.0000,3.3987
2008.0000,4.5414
2011.0000,3.1867
2014.0000,3.1017
2017.0000,3.4977
2020.0000,4.1691
2023.0000,2.3748
2026.0000,3.2856
2029.0000,2.6332
2032.0000,2.5184
2035.0000,2.6188
2038.0000,-0.1539
2041.0000,3.2300
2044.0000,4.1463
2047.0000,3.7079
2050.0000,2.6662
2053.0000,2.4912
2056.0000,3.0366
2059.0000,2.6024
2062.0000,3.6321
2065.0000,3.2915
2068.0000,3.2267
2071.0000,3.5031
2074.0000,2.6688
2077.0000,1.6796
2080.0000,2.2468
2083.0000,3.7770
2086.0000,3.0703
2089.0000,2.7206
2092.0000,2.9869
2095.0000,1.6091
2098.0000,2.9817
2101.0000,3.8713
2104.0000,2.5757
2107.0000,2.2005
2110.0000,2.5798
2113.0000,2.5757
2116.0000,1.8551
2119.0000,3.1749
2122.0000,0.5705
2125.0000,3.8744
2128.0000,3.1887
2131.0000,2.5072
2134.0000,2.6351
2137.0000,2.8498
2140.0000,1.9949
2143.0000,3.4461
2146.0000,1.5745
2149.0000,3.4924
2152.0000,2.1688
2155.0000,2.9398
2158.0000,2.8339
2161.0000,-0.0727
2164.0000,2.7707
2167.0000,3.2213
2170.0000,2.9671
2173.0000,1.9085
2176.0000,3.2666
2179.0000,3.5919
2182.0000,2.6844
2185.0000,2.7913
2188.0000,4.3616
2191.0000,2.4941
2194.0000,3.6790
2197.0000,2.4882
2200.0000,1.9634
2203.0000,1.4753
2206.0000,3.8002
2209.0000,2.4925
2212.0000,2.7026
2215.0000,3.3725
2218.0000,1.6399
2221.0000,1.6987
2224.0000,3.4659
2227.0000,3.1101
2230.0000,2.2303
2233.0000,1.6097
2236.0000,1.9396
2239.0000,1.4925
2242.0000,3.2554
2245.0000,4.3081
2248.0000,3.0065
2251.0000,1.4331
2254.0000,1.9624
2257.0000,4.2551
2260.0000,4.1750
2263.0000,3.3820
2266.0000,3.3104
2269.0000,3.3590
2272.0000,1.7173
2275.0000,3.0126
2278.0000,1.3161
2281.0000,0.9184
2284.0000,2.3549
2287.0000,1.0174
2290.0000,4.7047
2293.0000,2.3589
2296.0000,2.6164
2299.0000,3.9106
2302.0000,2.6859
2305.0000,4.3313
2308.0000,1.8778
2311.0000,1.6638
2314.0000,0.5011
2317.0000,1.6958
2320.0000,2.0602
2323.0000,1.4981
2326.0000,2.4421
2329.0000,1.1680
2332.0000,2.9748
2335.0000,2.0423
2338.0000,1.3947
2341.0000,2.0095
2344.0000,1.9350
2347.0000,2.8909
2350.0000,2.2819
2353.0000,2.2029
2356.0000,2.3383
2359.0000,3.7092
2362.0000,3.9688
2365.0000,3.9186
2368.0000,1.1134
2371.0000,1.3691
2374.0000,1.9431
2377.0000,3.6208
2380.0000,3.0216
2383.0000,3.6390
2386.0000,2.1426
2389.0000,2.5861
2392.0000,3.7451
2395.0000,1.9668
2398.0000,3.1831
2401.0000,5.2590
